timestamp,lap,ego_x,ego_y,ego_vel,ego_s,ego_d,opp_x,opp_y,opp_vel,opp_s,opp_d,rel_x,rel_y,rel_vel,rel_s,rel_d,imm_trajectory,imm_active
1785011372.632243,0,-73.47440886201731,53.81244844068447,0.8000000119209292,310.6967417885781,-0.4994501692523471,-27.609347195912164,-7.859328417041233,1.1200015859807375,38.467261508576456,-0.3745300388743674,45.86506166610515,-61.6717768577257,0.3200015740598083,90.38777198170885,0.12492013037797967,[],False
1785011372.6824586,0,-73.49019750700559,53.80985656848938,0.8000000119209292,310.7113252505267,-0.5038996670703223,-27.576651544583303,-7.851586421975611,1.120000844467146,38.50083615145647,-0.3776731818387071,45.91354596242229,-61.66144299046499,0.3200008325462169,90.40676316264023,0.12622648523161523,[],False
1785011372.7131429,0,-73.51385384081493,53.80581004306189,0.8000000119209292,311.045892706534,-0.5025885164720414,-27.554924961443795,-7.846136467776772,1.1200005554227088,38.52320564567753,-0.3811103436326811,45.958928879371136,-61.65194651083866,0.3200005435017796,90.09456520085405,0.1214781728393603,[],False
1785011372.7677133,0,-73.52961134194824,53.80303520116016,0.8000000119209292,311.06171623140534,-0.4998626724117346,-27.53332874690489,-7.840191791092819,1.1200003658742923,38.37809723302785,-0.38447688687489,45.996282595043354,-61.64322699225298,0.3200003539533631,89.93363326333304,0.11538578553684459,[],False
1785011372.8509064,0,-73.5453578650462,53.80019872108575,0.8000000119209292,311.08067351661765,-0.49702628606583255,-27.51183232885913,-7.833894499100554,1.1200002415729824,38.39914548710523,-0.38863658408558277,46.03352553618707,-61.6340932201863,0.3200002296520532,89.93572423219808,0.10838970198024978,[],False
1785011372.9288166,0,-73.59269381780459,53.79224765952146,0.8000000119209292,311.1266806826048,-0.4888369879799963,-27.447319782337114,-7.8150864029153375,1.1200000715499667,38.683498758902886,-0.3749833356025464,46.14537403546747,-61.60733406243679,0.3200000596290375,90.17407033800862,0.11385365237744993,[],False
1785011372.9757476,0,-73.60849160435096,53.78971205101052,0.8000000119209292,311.13253084993687,-0.4864052444517634,-27.42570073052755,-7.809223518250749,1.1200000485621415,38.70564584294691,-0.3719999019243618,46.18279087382341,-61.598935569261265,0.3200000366412123,90.19036725472057,0.11440534252740164,[],False
1785011373.0314324,0,-73.62429397270846,53.78720515383144,0.8000000119209292,311.1483769506211,-0.4843106732736734,-27.393196025949617,-7.800716328561607,1.120000028024941,38.73890931311603,-0.3703276591056426,46.23109794675884,-61.58792148239304,0.3200000161040117,90.20778462420543,0.1139830141680308,[],False
1785011373.066773,0,-73.64799784549653,53.783446831759655,0.8000000119209292,311.2235070067711,-0.4791990998921602,-27.37145952369898,-7.795305140819864,1.1200000200194726,38.761121505423176,-0.37117163616912996,46.27653832179755,-61.57875197257952,0.3200000080985434,90.15486676036255,0.10802746372303024,[],False
1785011373.1147964,0,-73.67166041181895,53.77943810257955,0.8000000119209292,311.2467241779465,-0.4734510097142988,-27.338862927489,-7.787155500990192,1.1200000128674297,38.64007609986599,-0.37374081397444997,46.332797484329944,-61.56659360356974,0.3200000009465005,90.01060418363005,0.09971019573984885,[],False
1785011373.1637146,0,-73.67953671073771,53.77803676368404,0.8000000119209292,311.25444631822893,-0.4717260961961207,-27.32801250109637,-7.784379210835053,1.1200000113269888,38.650836679436765,-0.37509579587505915,46.35152420964134,-61.5624159745191,0.3199999994060596,90.01364262291838,0.09663030032106157,[],False
1785011373.223624,0,-73.6952800299897,53.77518293734388,0.8000000119209292,311.26987684830635,-0.46861590561895905,-27.306387685943,-7.7785386391948,1.1200000090693556,38.67243826201298,-0.37849331482706167,46.3888923440467,-61.55372157653868,0.3199999971484264,90.01981367541714,0.09012259079189738,[],False
1785011373.2817142,0,-73.71096000832569,53.77200086672465,0.8000000119209292,311.1859871074755,-0.46544409862069197,-27.2740058605774,-7.769573385421056,1.120000007052398,38.70489648119903,-0.38577398551403297,46.43695414774828,-61.54157425214571,0.3199999951314689,90.13616163543406,0.079670113106659,[],False
1785011373.312855,0,-73.74222875586753,53.76520020877934,0.8000000119209292,311.21786133614626,-0.45956383732648953,-27.241522016915518,-7.760988677729757,1.120000005981298,38.89155396767002,-0.38249968615753055,46.50070673895201,-61.5261888865091,0.3199999940603688,90.29094489323427,0.07706415116895898,[],False
1785011373.3690162,0,-73.7581072021042,53.76195431615176,0.8413685093134644,311.23402126209606,-0.4576131750261222,-27.21980874340717,-7.755484787288087,1.1200000055637798,38.91389496540887,-0.3816885274098889,46.53829845869703,-61.51743910343985,0.2786314962503153,90.29712596502333,0.0759246476162333,[],False
1785011373.4158888,0,-73.79869856915558,53.75443812818039,0.8144065160711798,311.275234327522,-0.45598643491213076,-27.176234235574448,-7.7450851224021635,1.1200000051104306,38.95861636709671,-0.3846226051438177,46.62246433358113,-61.499523250582556,0.3055934890392509,90.30063430128519,0.07136382976831307,[],False
1785011373.4895978,0,-73.80667495303217,53.75286360890437,0.811666398981802,311.2833450943742,-0.4560100614917551,-27.15443526804177,-7.739931950237151,1.1200000049926857,38.82310502926976,-0.3877332826736489,46.652239684990406,-61.49279555914152,0.3083336060108836,90.15701219660605,0.06827677881810618,[],False
1785011373.5302763,0,-73.81460756928385,53.75119831178775,0.809447452162824,311.2914238059412,-0.45608036966332904,-27.143574435241785,-7.737196843665547,1.1200000049500212,38.83366427843183,-0.3892972765594534,46.67103313404206,-61.488395155453304,0.3105525527871972,90.1594927342012,0.06678309310387565,[],False
1785011373.590608,0,-73.84008400576278,53.74563633126181,0.9264606514703008,311.31739620425446,-0.4570735183796461,-27.111098794746955,-7.728577839917766,1.120000004864836,38.86548201086136,-0.39544208034204265,46.728985211015825,-61.474214171179575,0.1935393533945351,90.1653380683174,0.06163143803760346,[],False
